year,sellafield_TBq,la_hague_TBq
1967,1.27586,
1968,2.24138,
1969,3.06897,
1970,3.24138,
1971,2.31034,
1972,1.44828,
1973,4.89655,
1974,1.27586,0.41379
1975,2.13793,0.31034
1976,0.82759,0.2069
1977,1.75862,0.32759
1978,2.06897,0.44828
1979,2.44828,0.55172
1980,8.37931,0.65517
1981,4.31034,0.65517
1982,3.24138,0.93103
1983,3.68966,1.10345
1984,0.93103,1.27586
1985,1.27586,1.86207
1986,2.51724,1.68966
1987,2.17241,2.27586
1988,2.93103,1.65517
1989,1.96552,2.51724
1990,1.89655,2.93103
1991,2.44828,3.75862
1992,0.7931,3.55172
1993,1.96552,5.34483
1994,7.72414,6.7931
1995,12.24138,9.17241
1996,10.27586,9.55172
1997,4.27586,9.68966
1998,3.75862,9.82759
1999,5.68966,9.93103
2000,4.58621,8.62069
2001,9.5,7.2
2002,13,7.9
2003,17,8.7
2004,16.3,8.9
2005,5.6,8.27
2006,10.9,7.46
2007,4.65,7.08
2008,7.19,6.24
2009,8.19,6.12
2010,4.37,7.34
2011,6.39,6.99
2012,4.09,7.08
2013,5.49,8.58
2014,4.68,8.32
2015,4.93,8.5
2016,4.81,7.55
2017,3.52,7.33
2018,2.91,7.62
2019,1.73,8.42
2020,1.15,7.44
