year,sellafield_TBq,la_hague_TBq
1969,62,1.3
1970,220,14
1971,240,48
1972,220,6.2
1973,170,8.4
1974,1000,9
1975,1100,4.3
1976,740,6.6
1977,600,9.6
1978,400,7.8
1979,240,3.6
1980,240,3.7
1981,170,6
1982,140,8.4
1983,89,4.9
1984,35,4.8
1985,30,8.2
1986,1.3,1.4
1987,1.2,1.2
1988,0.95,1.3
1989,1.7,2.8
1990,1.2,1.9
1991,0.76,0.69
1992,0.83,0.3
1993,,0.35
1994,,1.2
1995,0.51,0.36
1996,0.27,0.17
1997,0.3,0.208
1998,0.319,0.149
1999,0.339,0.0579
2000,0.231,0.0465
2001,0.48,0.04
2002,0.49,0.0653
2003,0.392,0.0419
2004,0.401,0.0641
2005,0.164,0.0611
2006,0.154,0.0605
2007,0.137,0.068
2008,0.115,0.075
2009,0.141,0.0689
2010,0.11,0.0754
2011,0.0945,0.0519
2012,0.0555,0.0305
2013,0.0725,0.0257
2014,0.051,0.0426
2015,0.0556,0.0333
2016,0.0649,0.0503
2017,0.0415,0.0829
2018,0.0347,0.0473
2019,0.0138,0.109
2020,0.018,0.0796
2021,,0.0822
