year,sellafield_TBq,la_hague_TBq
1952,0.02,
1953,0.02,
1954,0.02,
1955,0.02,
1956,0.02,
1957,0.02,
1958,0.02,
1959,0.02,
1960,0.02,
1961,0.02,
1962,0.02,
1963,0.02,
1964,0.02,
1965,0.02,
1966,0.02,
1967,0.02,
1968,0.02,
1969,0.02,
1970,0.1,
1971,0.1,
1972,0.1,
1973,0.1,
1974,0.1,
1975,0.1,
1976,0.13,
1977,0.11,
1978,0.07,
1979,0.12,
1980,0.24,
1981,0.19,
1982,0.1,
1983,0.2,
1984,0.1,
1985,0.1,
1986,0.12,
1987,0.1,
1988,0.13,0.2
1989,0.17,0.26
1990,0.11,0.33
1991,0.15,0.46
1992,0.07,0.48
1993,0.16,0.65
1994,0.16,1.1
1995,0.25,1.53
1996,0.41,1.69
1997,0.52,1.63
1998,0.553,1.78
1999,0.485,1.83
2000,0.469,1.37
2001,0.63,1.2
2002,0.73,1.3
2003,0.554,1.3
2004,0.65,1.37
2005,0.298,1.4
2006,0.198,1.32
2007,0.104,1.37
2008,0.199,1.04
2009,0.253,1.07
2010,0.274,1.37
2011,0.4,1.25
2012,0.245,1.3
2013,0.287,1.56
2014,0.349,1.53
2015,0.359,1.64
2016,0.522,1.42
2017,0.223,1.26
2018,0.25,1.3
2019,0.027,1.71
2020,0.00847,1.24
2021,0.0183,1.2099
