date,activity_concentration
1967-08-19,10.656
1970-08-23,7.178
1970-08-23,7.289
1970-08-23,7.289
1970-08-23,9.324
1972-08-18,5.624
1973-08-18,6.882
1974-08-15,6.771
1975-08-20,8.251
1976-08-21,5.18
1976-12-31,4.847
1977-06-20,7.289
1977-06-20,6.919
1978-05-14,8.214
1978-06-26,7.326
1978-12-24,6.438
1979-04-15,5.957
1979-09-09,12.765
1979-11-25,11.211
1980-03-01,10.175
1980-03-17,11.433
1980-04-07,8.917
1980-05-18,11.1
1980-05-25,11.692
1980-07-27,14.023
1981-01-03,12.802
1981-05-24,16.058
1981-07-24,15.17
1981-12-20,11.433
1982-07-11,12.432
1982-09-26,9.99
1982-11-27,8.954
1983-04-03,8.362
1985-01-02,7.7
1985-04-08,6.1
1985-11-17,6.06
1985-12-29,3.72
1986-03-30,3.3
1986-05-04,5.8
1986-10-19,16.7
1987-08-08,17.6
1987-12-24,12.5
1988-01-23,13.1
1988-06-26,19.5
1988-08-27,17.6
1988-11-27,16.1
1988-12-31,16
1989-12-25,15.4
1990-04-16,23.7
1990-05-20,29.2
1990-11-03,14.7
1990-12-15,13.1
1991-01-18,13.1
1991-04-01,14
1991-06-09,15.1
1991-08-25,23.7
1991-11-24,16.1
1992-01-19,14.6
1992-03-21,18.6
1992-08-28,18.1
1992-09-26,16.8
1993-03-28,15.5
1993-06-25,22.6
1994-03-31,11.3
1994-05-28,23.6
1994-10-09,13
1994-11-20,8.8
1995-02-11,10.2
1995-04-16,11.4
1995-09-23,14
1995-11-25,9.9
1995-12-26,10.5
1996-06-16,14
1996-09-29,9.1
1996-11-10,8
1997-09-28,11.5
1998-07-03,10.8
1998-08-03,12.3
1998-11-08,10.2
1999-07-03,11.4
1999-08-14,11.9
1999-10-15,9.6
1999-12-31,6.7
2000-04-06,9.9
2000-06-05,14
2000-07-09,8.4
2000-09-10,9
2000-11-12,7.1
2000-11-26,6.9
2000-12-31,7.7
2001-01-01,6.9
2001-04-14,5.9
2001-07-03,10.5
2001-07-28,16.8
2001-08-25,8.6
2001-10-13,7.8
2001-12-15,6.4
2001-12-31,7.5
2002-03-29,7.1
2002-05-26,13.6
2002-08-08,11.7
2002-08-23,10
2002-12-01,5.2
2002-12-29,6
2003-03-10,6.3
2003-04-20,6.7
2003-06-28,9.8
2003-07-15,7.8
2003-09-07,8.7
2003-10-18,6.3
2003-12-31,7
2004-03-06,6
2004-04-12,5.3
2004-12-31,6.2
2005-02-24,6.1
2005-03-25,6.4
2005-06-30,7.2
2005-08-03,7.6
2005-12-18,5.1
2005-12-29,5
2006-02-25,
2006-04-14,
2006-05-21,
2006-08-01,
2006-12-07,
2007-05-12,
2007-07-22,
2007-09-09,6.2
2007-11-04,4.8
2007-12-16,6.3
2008-01-01,7.3
2008-03-21,5
2008-04-26,
2008-05-31,
2008-07-03,
2008-08-16,
2008-11-03,8.8
2008-11-29,4.3
2008-12-31,4.8
2009-03-14,4.1
2009-04-10,4.1
2009-06-21,4
2009-07-23,
2009-08-01,
2009-08-08,
2009-09-13,
2009-12-13,
2009-12-30,
2010-04-02,
2010-05-30,4.75
2010-07-03,
2010-07-20,6.39
2010-08-27,
2010-08-28,4.65
2010-10-24,3.88
2010-12-23,
2011-04-22,
2011-05-15,
2011-06-26,
2011-07-20,
2011-08-12,
2011-10-24,
2011-12-30,5.57
2012-01-23,2.35
2012-03-05,
2012-04-08,2.9
2012-04-09,3.44
2012-05-20,
2012-08-05,6.07
2012-10-22,
2012-12-17,
2013-02-17,
2013-05-12,2.6
2013-09-10,3.48
2013-10-27,2.86
2013-12-26,
2014-01-01,
2014-03-18,
2014-04-21,
2014-06-20,
2014-07-20,3.12
2014-09-15,4.36
2014-11-14,5.16
2015-01-19,2.47
2015-04-04,
2015-06-11,4.28
2015-08-04,4.06
2015-10-04,4.33
2015-12-26,2.67
2016-03-06,
2016-05-15,3.75
2016-06-26,
2016-08-15,
2016-10-02,3.41
2016-11-14,2.23
2016-11-14,1.99
2016-12-17,2.48
2017-02-06,2.45
2017-04-15,2.97
2017-06-22,3.11
2017-08-11,2.79
2017-10-15,2.91
2017-12-17,1.74
2018-01-20,2.12
2018-03-18,2.28
2018-05-10,2.27
2018-06-23,3.99
2018-08-29,1
2018-10-28,1.55
2018-12-31,2.1
2019-03-07,1.89
2019-05-16,
2019-06-23,4.7
2019-08-29,3.2
2019-10-16,2.9
2019-11-15,2.2
2019-11-15,2.4
2020-01-06,2.5
2020-03-03,2.4
2020-05-02,3.9
2020-06-23,7.4
2020-08-27,4.2
2020-09-29,3.6
2020-12-06,2.66
2021-01-01,2.6
2021-03-17,1.54
2021-05-14,2.99
2021-07-04,3.24
2021-09-15,3.51
2021-10-29,2.65
2021-12-31,2.22
2022-03-01,
