date,activity_1E14_atom_per_kg,uncertainty,season,sample
1967-07-15,0.0379365417132104,0.00180496231550312,Summer,V759
,,,,
1967-07-15,0.0241908973007405,0.00105479662197705,Summer,V760
1967-07-15,0.0108074836439006,0.000438240494372732,Summer,V760
,,,,
1976-08-21,0.0798131589381216,0.0025407800623892,Summer,V2108
1978-06-26,0.05199649943911,0.00181664757749872,Summer,V2070
1980-10-26,0.358206858659252,0.0118786829155619,Winter,V2554
1984-08-05,0.244166160364293,0.0169254494490969,Summer,6/6/1905
1985-05-19,0.168724112996532,0.0125127053602302,Winter,6/7/1905
1985-11-17,0.174826566623901,0.0125351690782256,Winter,4/20/1923
1986-07-27,0.41044617601591,0.034202278569811,Summer,6/8/1905
1987-12-24,0.512666007020998,0.0225879018715883,Winter,11/7/1923
1988-06-26,0.279580352909437,0.0362391317940391,Summer,6/10/1905
1990-12-15,0.555721020494425,0.0197099938412321,Winter,9/2/1924
1992-01-19,0.29899586686996,0.0136185837701571,Winter,6/14/1905
1992-07-04,0.393252370205745,0.0175911962169083,Summer,1992 (2)
1993-06-25,0.905003625031219,0.0555341698803886,Summer,6/15/1905
1994-06-25,1.05896401316291,0.0408908199339489,Summer,1994 (2)
,,,,
1996-01-20,0.844801827379986,0.0261502857144812,Winter,9/18/4528
1997-01-03,0.450471592528785,0.014160358707502,Winter,1/18/4556
1997-07-21,0.484030715041414,0.0152317381381976,Summer,9/27/4557
1997-12-21,1.38981361895935,0.220608116466454,Winter,2/9/4559
1997-12-21,2.59027223962687,0.0814784424769622,Winter,2/9/4559
1998-07-03,0.429825956887418,0.015904414144405,Summer,1/25/4585
1999-01-01,1.25582918170578,0.0441680699671546,Winter,10/20/4610
,,,,
1999-07-03,1.65377746388438,0.0651495060815136,Summer,6/13/4612
1999-12-31,1.41736125936791,0.0686772864277427,Winter,2/19/1927
2001-07-03,1.50699358401833,0.0246629288697871,Summer,T9
2001-12-31,3.13258884325043,0.0389434742596628,Winter,T19
2002-05-26,1.18237866013118,0.0184250143404969,Winter,T25
2002-08-08,1.76889333262797,0.0228033176631607,Summer,T27
2002-12-29,1.91798218317146,0.0297887921605624,Winter,T33
2003-06-28,1.56390127523812,0.0263802963164029,Summer,T39
2003-12-31,3.48566402138929,0.052484483939233,Winter,T47
2004-04-12,1.48221355865643,0.0654898789863741,Winter,2/7/1901
2004-06-30,1.99866638525463,0.0265742424121327,Summer,T53
2005-02-24,0.714164256027292,0.0246678903635841,Winter,3/30/1960
2005-06-30,0.262955998000377,0.0148763561835323,Summer,#FMT
2006-01-01,2.57866234121486,0.0940002170244113,Winter,10/10/4670
2006-02-25,4.2368356778366,0.147925110775895,Winter,8/24/1901
2006-05-21,0.266506772187535,0.0115618940811689,Winter,#FMT
2006-08-01,0.86068331580143,0.0277990451228969,Summer,6/5/4862
2007-06-22,0.262624304118251,0.0260373130129645,Summer,#FMT
2007-12-16,1.13231486707117,0.136125739934695,Winter,#FMT
2008-12-31,0.822311812858713,0.0964954844238037,Winter,#FMT
2009-06-21,0.991395459913254,0.0992677300792768,Summer,#FMT
2009-12-30,3.09639085204281,0.101146132734273,Winter,#FMT
2010-07-03,1.37285743620253,0.0537215605417342,Summer,#FMT
,,,,
,,,,
2011-06-26,1.330613608892,0.0199004365588234,Summer,T151
2012-05-20,3.44948442161767,0.105088339916349,Winter,M14
2012-12-17,8.68096947261431,0.265385561855117,Winter,M59
2013-06-23,3.80755541993865,0.119670746460486,Summer,M188
2013-12-26,2.70999601581928,0.0342332309106319,Winter,M308
2014-01-01,3.11659013412757,0.0377481757974757,Winter,M310
2014-06-20,4.00952768854942,0.122251205335065,Summer,M330
2014-06-20,1.91690112959395,0.12417731044605,Summer,M330
2014-07-20,1.33050525027437,0.0177361400247706,Summer,M332
2014-11-14,10.7475999214266,0.327789162615725,Winter,M340
2015-04-04,2.72932917336646,0.0329206894909118,Winter,M344
2015-06-11,4.36520763026042,0.13532097515348,Summer,M472
2015-08-04,2.07965960043948,0.0259789364117068,Summer,M477
2015-10-04,2.06518114540234,0.0657752749663592,Winter,M482
2015-12-26,12.6841592864421,0.386614186470359,Winter,M490
2015-12-26,6.11534083981114,0.286085497447696,Winter,M489
,,,,
2016-03-06,0.712535407744907,0.023442624803719,Winter,M493
2016-05-15,1.23300555959063,0.0398464638180197,Winter,M497
2016-06-26,5.78353152539617,0.176653263609681,Summer,M499
2016-06-26,14.2141723942353,0.43625298311354,Summer,M500
2016-08-15,1.96792934203646,0.0617256456465107,Summer,M502
2016-10-02,2.84685495511045,0.0942914034214894,Winter,M504
2016-12-17,7.13947406337222,0.29716333921936,Winter,M507
2017-02-06,3.67040378961095,0.117173816858156,Winter,M509
2017-02-06,1.90610418566241,0.0614182989560099,Winter,M510
2017-04-15,3.3341122987052,0.104376034351523,Winter,M520
2017-06-22,1.20301502241631,0.037388884602887,Summer,M526
,,,,
2017-06-22,5.17228112451306,0.158036543348383,Summer,M527
2017-08-11,1.74068592408859,0.054667353407772,Summer,M528
2017-08-11,3.20059789106262,0.104710481292966,Summer,M529
2017-10-15,1.68052897755015,0.0552439981408774,Winter,M535
2017-10-15,2.94269591355814,0.0986792330880177,Winter,M536
2017-12-17,2.12628053529242,0.066650040263112,Winter,M537
2018-01-21,0.727704206282245,0.0240952224391215,Winter,M539
2018-01-21,0.371681375526433,0.0123416762496079,Winter,M540
2018-03-18,0.903241880985848,0.0304099037406525,Winter,M541
2018-05-10,0.410222648626639,0.0137713403138132,Winter,M543
2018-05-10,0.382818366071906,0.0172804696548243,Winter,M544
2018-06-23,0.727127951894097,0.0228637183040336,Summer,M552
2018-06-23,0.257050416536949,0.0102977493878392,Summer,M553
2018-10-28,0.612209936379878,0.018922950758656,Winter,M556
2018-10-28,0.913020157136492,0.0368801515335193,Winter,M557
2019-03-07,0.347896510960141,0.0178513396954243,Winter,M576
2019-05-16,0.342213687371948,0.0445914788529373,Winter,M585
2019-06-23,1.61340408968215,0.0547654172684937,Summer,M587
,,,,
2019-11-15,4.13647145203399,0.203018706235324,Winter,M602
2019-11-15,5.2834436482619,0.522534947190097,Winter,M603
2021-07-04,1.2867870049729,0.0536106291712498,Summer,M746
2021-12-31,2.23044041576807,0.0880450471314898,Winter,M802
