date,activity_concentration,uncertainty
2004-08-03,120,6.5
2005-01-15,227.9,28
2005-06-30,213.3,13.7
2005-12-18,151.7,9.4
2006-05-21,153.5,11.3
2006-08-01,82.5,8.1
2007-04-08,141.1,8.9
2007-08-04,75.2,5.5
2007-12-16,112.4,8.3
2008-08-16,52.7,3.7
2008-12-31,116.8,7.8
2009-03-14,109.9,7.7
2009-06-21,98.1,6.6
2009-12-30,109.1,7.5
2009-12-30,79,20
2010-05-30,87.3,5.9
2010-07-20,60.1,4.7
2010-10-24,62.4,4.7
2011-12-30,35,12
2013-12-26,31,11
2015-12-26,14.7,8.8
2017-12-17,16.6,9
2020-01-06,17.3,9
2021-12-31,12.1,8.1
2023-12-31,17.9,8.9
